Total_Stops,Route_1,Route_2,Route_3,Route_4,Route_5,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Chennai,Delhi,Kolkata,Mumbai,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Price,journey_day,journey_month,journey_year,Dep_Time_hour,Dep_Time_min,Arrival_Time_hour,Arrival_Time_min,duration_hour,duration_minute
0,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3897,24,3,2019,22,20,1,10,2,50
2,2,25,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7662,5,1,2019,5,50,13,15,7,25
2,3,32,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13882,6,9,2019,9,25,4,25,19,0
1,2,34,3,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6218,5,12,2019,18,5,23,30,5,25
1,0,34,8,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13302,3,1,2019,16,50,21,35,4,45
0,2,5,29,13,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3873,24,6,2019,9,0,11,25,2,25
1,0,7,8,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11087,3,12,2019,18,55,10,25,15,30
1,0,7,8,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22270,3,1,2019,8,0,5,5,21,5
1,0,7,8,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11087,3,12,2019,8,55,10,25,25,30
1,3,7,6,13,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8625,27,5,2019,11,25,19,15,7,50
1,3,6,6,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8907,6,1,2019,9,45,23,0,13,15
0,2,5,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4174,18,4,2019,20,20,22,55,2,35
0,4,8,29,13,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4667,24,6,2019,11,40,13,55,2,15
1,2,7,3,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9663,5,9,2019,21,10,9,20,12,10
0,2,5,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4804,24,4,2019,17,15,19,50,2,35
2,3,0,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14011,3,3,2019,16,40,19,15,26,35
1,3,37,6,13,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5830,15,4,2019,8,45,13,15,4,30
1,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10262,6,12,2019,14,0,12,35,22,35
2,3,9,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13381,6,12,2019,20,15,19,15,23,0
1,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12898,27,5,2019,16,0,12,35,20,35
1,3,7,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19495,3,6,2019,14,10,19,20,5,10
1,0,11,8,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6955,21,3,2019,22,0,13,20,15,20
0,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3943,4,3,2019,4,0,6,50,2,50
0,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4823,5,1,2019,18,55,21,50,2,55
1,2,7,3,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7757,5,6,2019,18,55,8,15,13,20
2,3,21,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13292,6,9,2019,21,25,12,35,15,10
1,3,32,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8238,6,1,2019,21,50,3,35,5,45
1,3,7,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7682,15,5,2019,7,0,12,55,5,55
0,0,13,29,13,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4668,18,6,2019,9,45,12,35,2,50
0,4,8,29,13,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3687,15,6,2019,7,5,9,20,2,15
0,4,8,29,13,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3687,18,6,2019,7,5,9,20,2,15
2,2,15,9,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13227,5,1,2019,9,50,23,15,13,25
0,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4423,4,6,2019,4,0,6,50,2,50
2,3,34,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10919,15,6,2019,14,35,12,35,22,0
1,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12373,18,5,2019,7,5,12,35,5,30
1,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5894,27,6,2019,10,35,21,0,10,25
1,2,33,3,13,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4649,21,5,2019,15,5,20,20,5,15
0,2,5,29,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6245,18,5,2019,14,15,16,45,2,30
1,0,7,8,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19225,3,6,2019,7,0,13,15,6,15
1,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14924,6,3,2019,7,5,19,0,11,55
1,3,20,6,13,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9646,21,5,2019,7,5,18,10,11,5
1,0,7,8,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8714,15,3,2019,6,45,15,15,8,30
1,3,7,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12373,18,5,2019,20,55,19,0,22,5
0,0,13,29,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3383,5,6,2019,11,10,13,55,2,45
1,3,7,6,13,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13062,21,3,2019,9,0,21,0,12,0
0,0,13,29,13,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3527,24,3,2019,5,45,8,35,2,50
0,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3943,27,5,2019,4,0,6,50,2,50
0,4,8,29,13,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4667,5,3,2019,11,40,13,55,2,15
1,2,20,3,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6117,15,5,2019,19,0,11,5,16,5
2,3,0,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11150,27,6,2019,23,5,19,0,19,55
0,3,10,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7202,3,9,2019,11,0,14,15,3,15
1,2,14,3,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12121,5,1,2019,9,35,10,55,25,20
0,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4377,24,3,2019,22,20,1,10,2,50
0,0,13,29,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3943,18,6,2019,21,15,0,15,3,0
0,0,13,29,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4483,4,3,2019,23,55,2,45,2,50
1,2,7,3,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14231,24,3,2019,19,45,12,0,16,15
2,0,7,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17345,3,1,2019,8,50,23,55,15,5
0,4,8,29,13,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,7414,3,6,2019,7,5,9,20,2,15
1,3,7,6,13,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8073,5,6,2019,19,0,1,30,6,30
1,1,14,13,13,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,12395,3,6,2019,15,40,16,45,25,5
1,2,7,3,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8366,6,6,2019,9,25,21,50,12,25
1,3,33,6,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5117,4,3,2019,6,5,9,25,27,20
1,3,7,6,13,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12524,6,3,2019,8,45,19,0,10,15
1,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7191,15,5,2019,15,0,1,30,10,30
0,4,8,29,13,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3687,24,5,2019,7,5,9,20,2,15
1,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5894,24,6,2019,10,35,21,0,10,25
0,0,13,29,13,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5403,24,4,2019,9,45,12,35,2,50
0,1,19,29,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3625,5,6,2019,13,55,15,25,1,30
2,3,4,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10861,21,5,2019,5,55,19,15,13,20
